%eval_id          Mean1          Mean2         Sigma1         Sigma2      MeanReal1      MeanImag1           Cxx1           Cxy1           Cyy1      MeanReal2      MeanImag2           Cxx2           Cxy2           Cyy2 
     144   0.9604912687   0.9604912687              1              1       0.995092       0.058018        1.7e-05         -5e-06        1.8e-05       0.995092      -0.058018        1.7e-05          5e-06        1.8e-05 
     145  -0.9604912687   0.9604912687              1              1       1.005514       0.035326          3e-06             -0          8e-06       1.005514      -0.035326          3e-06              0          8e-06 
     146              0  -0.7745966692   0.2254033308    1.774596669       0.996744        0.04156        1.8e-05              0        2.9e-05       0.996744       -0.04156        1.8e-05             -0        2.9e-05 
     147              0   0.7745966692   0.2254033308    1.774596669       1.000201       0.055566          6e-06         -6e-06        2.2e-05       1.000201      -0.055566          6e-06          6e-06        2.2e-05 
     148              0  -0.7745966692   0.2254033308   0.2254033308         0.9988       0.042264              0              0          1e-06         0.9988      -0.042264              0             -0          1e-06 
     149              0   0.7745966692   0.2254033308   0.2254033308       1.002694       0.054607              0             -0              0       1.002694      -0.054607              0              0              0 
     150              0  -0.7745966692    1.774596669    1.774596669        0.99813       0.040676          4e-05          1e-05       0.000243        0.99813      -0.040676          4e-05         -1e-05       0.000243 
     151              0   0.7745966692    1.774596669    1.774596669       1.002703       0.053889        2.4e-05       -1.2e-05       0.000116       1.002703      -0.053889        2.4e-05        1.2e-05       0.000116 
     152              0  -0.7745966692    1.774596669   0.2254033308       1.000512       0.042537        1.6e-05          4e-06        3.2e-05       1.000512      -0.042537        1.6e-05         -4e-06        3.2e-05 
     153              0   0.7745966692    1.774596669   0.2254033308       1.005073       0.053561        1.9e-05         -4e-06          7e-06       1.005073      -0.053561        1.9e-05          4e-06          7e-06 
     154   0.7745966692              0   0.2254033308    1.774596669       0.983468       0.057877        5.3e-05         -1e-05        2.5e-05       0.983468      -0.057877        5.3e-05          1e-05        2.5e-05 
     155  -0.7745966692              0   0.2254033308    1.774596669       1.002879       0.061934          6e-06              0        3.9e-05       1.002879      -0.061934          6e-06             -0        3.9e-05 
     156   0.7745966692              0   0.2254033308   0.2254033308        0.99161       0.064589          1e-06             -0          1e-06        0.99161      -0.064589          1e-06              0          1e-06 
     157  -0.7745966692              0   0.2254033308   0.2254033308       1.005801       0.066249              0             -0          1e-06       1.005801      -0.066249              0              0          1e-06 
     158   0.7745966692              0    1.774596669    1.774596669       0.991277        0.06402        7.1e-05       -3.1e-05       0.000278       0.991277       -0.06402        7.1e-05        3.1e-05       0.000278 
     159  -0.7745966692              0    1.774596669    1.774596669       1.005736       0.065486        1.6e-05       -1.5e-05       0.000226       1.005736      -0.065486        1.6e-05        1.5e-05       0.000226 
     160   0.7745966692              0    1.774596669   0.2254033308       1.003373       0.073665        2.5e-05          1e-05        2.6e-05       1.003373      -0.073665        2.5e-05         -1e-05        2.6e-05 
     161  -0.7745966692              0    1.774596669   0.2254033308       1.009405       0.071715          9e-06         -3e-06        1.6e-05       1.009405      -0.071715          9e-06          3e-06        1.6e-05 
     162   0.7745966692  -0.4342437493   0.2254033308              1       0.997561       0.038554          7e-06         -3e-06          9e-06       0.997561      -0.038554          7e-06          3e-06          9e-06 
     163   0.7745966692   0.4342437493   0.2254033308              1       0.983028       0.072772        1.3e-05         -7e-06          7e-06       0.983028      -0.072772        1.3e-05          7e-06          7e-06 
